company|title|location|link
amazon|software dev engineer (devops), amazon prime air|graz, styria, austria|https://www.linkedin.com/jobs/view/4455933176
apple|virtual prototyping specialist – rf embedded systems (m/f/d)|linz, upper austria, austria|https://www.linkedin.com/jobs/view/4460241121
sprecher automation|software engineer embedded|linz, upper austria, austria|https://www.linkedin.com/jobs/view/4443164959
sprecher automation|senior softwareentwickler:in embedded systems|linz, upper austria, austria|https://www.linkedin.com/jobs/view/4443176445
casablanca hotelsoftware gmbh|ai-research engineer - background in software engineering  all genders|linz, upper austria, austria|https://www.linkedin.com/jobs/view/4463864698
ait austrian institute of technology|experienced software engineer (f/m/d) for industrial vision systems|vienna, vienna, austria|https://www.linkedin.com/jobs/view/4462999453
devjobs|senior software developer@ jaas gmbh|vienna, austria|https://www.linkedin.com/jobs/view/4465421496
talenthawk|software engineer – core compute (f/m/d)|vienna, vienna, austria|https://www.linkedin.com/jobs/view/4464885790
arivo|(senior) embedded software developer - linux/yocto (m/w/d)|graz, styria, austria|https://www.linkedin.com/jobs/view/4461639598
zerothird|senior c/c++ software engineer (all genders)|vienna, vienna, austria|https://www.linkedin.com/jobs/view/4431931356
sphere defense|senior embedded software engineer|brussels, brussels region, belgium|https://www.linkedin.com/jobs/view/4454340992
l.e.a.se. s.a. (luxembourg engineering & application services)|développeur solutions de test software et hardware|liège, walloon region, belgium|https://www.linkedin.com/jobs/view/4463435955
sphere defense|embedded software engineer, robotics|brussels, brussels region, belgium|https://www.linkedin.com/jobs/view/4456446441
redwire europe|software architect|kruibeke, flemish region, belgium|https://www.linkedin.com/jobs/view/4424736045
kla|software engineer - ai/ml|leuven, flemish region, belgium|https://www.linkedin.com/jobs/view/4440184762
itproposal|medior c++ software developer digi000570|brussels, brussels region, belgium|https://www.linkedin.com/jobs/view/4464403028
stackit|software test architect in iaas domain (m/f/d)|sofia, sofia city, worldwide|https://www.linkedin.com/jobs/view/4453098325
stackit|stackit cloud network developer (m/f/d)|sofia, sofia city, worldwide|https://www.linkedin.com/jobs/view/4453121095
sqilline health|software engineer (java, ai-first)|sofia, sofia city, worldwide|https://www.linkedin.com/jobs/view/4460305791
endurosat|senior embedded software engineer|sofia, sofia city, worldwide|https://www.linkedin.com/jobs/view/4458207471
3shape|experienced software developer for wireless communication|copenhagen municipality, capital region of denmark, denmark|https://www.linkedin.com/jobs/view/4451443328
unity|software engineer, tooling & automation|copenhagen, capital region of denmark, denmark|https://www.linkedin.com/jobs/view/4457154238
alexandra instituttet|full-stack software developer / applied ai engineer til innovative softwareløsninger|aarhus, central denmark region, denmark|https://www.linkedin.com/jobs/view/4462115715
kamstrup|internship in embedded software development and wireless technology|skanderborg, central denmark region, denmark|https://www.linkedin.com/jobs/view/4461702908
trackman|embedded c++ & linux software engineer|hørsholm, capital region of denmark, denmark|https://www.linkedin.com/jobs/view/4441621457
raptor|backend software engineer|aarhus, central denmark region, denmark|https://www.linkedin.com/jobs/view/4458191905
microchip technology inc.|senior software development engineer|herlev, capital region of denmark, denmark|https://www.linkedin.com/jobs/view/4440536457
helsing|staff software engineer|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4435902379
lendurai|software engineer, computer vision|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4451639635
wise|senior ii software engineer - machine learning platform|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4424427306
sky spy|python software engineer — ai/ml integration & ai agents|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4449851472
lendurai|senior software engineer, platform (c++)|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4457762984
defsecintel solutions|senior software engineer|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4441184393
helsing|software engineer - backend|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4349577471
mwdn|full-stack software engineer|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4457913974
skydio|senior/staff embedded software engineer - camera systems|tampere, pirkanmaa, finland|https://www.linkedin.com/jobs/view/4407487106
iceye|flight software engineer sar payload|espoo, uusimaa, finland|https://www.linkedin.com/jobs/view/4450291061
skylo|senior software engineer – nr-ntn protocols (l1 & l2)|espoo, uusimaa, finland|https://www.linkedin.com/jobs/view/4421869158
basware|senior cloud developer|espoo, uusimaa, finland|https://www.linkedin.com/jobs/view/4433815983
amazon web services (aws)|senior software dev engineer , aws transform|bordeaux, nouvelle-aquitaine, france|https://www.linkedin.com/jobs/view/4466415250
amazon web services (aws)|senior software development engineer - security automation, aws security opres|courbevoie, île-de-france, france|https://www.linkedin.com/jobs/view/4455791689
amazon web services (aws)|software development engineer - security automation, aws security epoxy|courbevoie, île-de-france, france|https://www.linkedin.com/jobs/view/4455910842
amazon web services (aws)|software development engineer - security automation, aws security epoxy|courbevoie, île-de-france, france|https://www.linkedin.com/jobs/view/4455799726
apple|sr. machine learning engineer, foundation models inference - cloud os & inference|paris, île-de-france, france|https://www.linkedin.com/jobs/view/4461367487
arm|staff software engineer – soc sw productisation|sophia antipolis, provence-alpes-côte d'azur, france|https://www.linkedin.com/jobs/view/4461351439
amazon web services (aws)|security software development manager, operational research, aws security|courbevoie, île-de-france, france|https://www.linkedin.com/jobs/view/4464487203
aerovect|staff software engineer, localization|paris, île-de-france, france|https://www.linkedin.com/jobs/view/4430744192
arteris|staff software development engineer / ingénieur en développement logiciel h/f|biot, provence-alpes-côte d'azur, france|https://www.linkedin.com/jobs/view/4465472961
step up|ingénieur software / système embarqué|nice, provence-alpes-côte d'azur, france|https://www.linkedin.com/jobs/view/4447053121
aerovect|senior staff software engineer, perception|paris, île-de-france, france|https://www.linkedin.com/jobs/view/4401364955
amazon web services (aws)|software dev engineer|berlin, berlin, germany|https://www.linkedin.com/jobs/view/4455920181
amazon web services (aws)|software dev engineer - embedded development|berlin, germany|https://www.linkedin.com/jobs/view/4455799297
amazon web services (aws)|software dev engineer - embedded development (linux), amazon linux|dresden, saxony, germany|https://www.linkedin.com/jobs/view/4455918326
amazon|software development engineer - 2026|berlin, berlin, germany|https://www.linkedin.com/jobs/view/4455796562
amazon|software development engineer - 2026|munich, bavaria, germany|https://www.linkedin.com/jobs/view/4455901436
amazon web services (aws)|software development engineer - 2026|berlin, berlin, germany|https://www.linkedin.com/jobs/view/4455937253
amazon web services (aws)|software development engineer - 2026|munich, bavaria, germany|https://www.linkedin.com/jobs/view/4455929350
amazon web services (aws)|software dev engineer - embedded development - low level, ec2 live migration|dresden, saxony, germany|https://www.linkedin.com/jobs/view/4458269362
amazon|sr. robotics software engineer, amazon robotics|berlin, germany|https://www.linkedin.com/jobs/view/4455919636
amazon web services (aws)|software development engineer ii, partyrock|berlin, germany|https://www.linkedin.com/jobs/view/4464058049
arista networks|senior software engineer - linux kernel - c++|athens, attiki, greece|https://www.linkedin.com/jobs/view/4426103513
meta|audio software engineer, applied scientist|athens, attiki, greece|https://www.linkedin.com/jobs/view/4453849006
allwyn hellas|allwyn graduate program - technology stream (software development or ai engineering)|athens, attiki, greece|https://www.linkedin.com/jobs/view/4440514540
elastic|principal software engineer - performance tuning - elasticsearch|greece|https://www.linkedin.com/jobs/view/4455785199
arista networks|software engineer - platform team - greece|athens, attiki, greece|https://www.linkedin.com/jobs/view/4455644170
jpmorganchase|python lead software engineer — electronic trading flows|athens, attiki, greece|https://www.linkedin.com/jobs/view/4446869036
sunlight group|senior embedded software engineer, r&d|athens, attiki, greece|https://www.linkedin.com/jobs/view/4464353673
elastic|principal software engineer - vector search - elasticsearch|greece|https://www.linkedin.com/jobs/view/4460113883
jpmorganchase|lead / senior c++ software engineer|athens, attiki, greece|https://www.linkedin.com/jobs/view/4413245443
arm|senior software engineer - ci for performance tools|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4410406285
arista networks|c++ software engineer with linux - hungary, romania, greece & spain|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4454781368
arm|staff software engineer|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4457615724
arm|staff software engineer|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4385271877
larkin lane films, llc|senior image sensor software engineer|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4424166945
arm|senior software engineer|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4462307286
abbyy|staff software engineer - c++|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4413481819
arista networks|software engineer - platform team - c++ on linux|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4451686851
mp solutions ltd.|senior software engineer (c++) - machine learning & 3d technológiai környezet|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4462151041
abbyy|senior software engineer – c++|budapest, budapest, hungary|https://www.linkedin.com/jobs/view/4413481817
deutsche telekom|ai swe / code quality validation engineer - t cloud public (ref5736m)|debrecen, hajdú-bihar, hungary|https://www.linkedin.com/jobs/view/4449662590
deutsche telekom|ai swe / code quality validation engineer - t cloud public (ref5736m)|szeged, csongrád, hungary|https://www.linkedin.com/jobs/view/4449645769
deutsche telekom|ai swe / code quality validation engineer - t cloud public (ref5736m)|pécs, baranya, hungary|https://www.linkedin.com/jobs/view/4449655639
